肖申克的救赎,1994,9.7,2664381人评价
霸王别姬,1993,9.6,1977955人评价
阿甘正传,1994,9.5,2001947人评价
泰坦尼克号,1997,9.4,1961379人评价
这个杀手不太冷,1994,9.4,2148258人评价
美丽人生,1997,9.6,1229522人评价
千与千寻,2001,9.4,2078046人评价
辛德勒的名单,1993,9.6,1025799人评价
盗梦空间,2010,9.4,1916653人评价
星际穿越,2014,9.4,1614920人评价
忠犬八公的故事,2009,9.4,1308889人评价
楚门的世界,1998,9.3,1535769人评价
海上钢琴师,1998,9.3,1560512人评价
三傻大闹宝莱坞,2009,9.2,1736981人评价
机器人总动员,2008,9.3,1227475人评价
放牛班的春天,2004,9.3,1211569人评价
无间道,2002,9.3,1238331人评价
疯狂动物城,2016,9.2,1758055人评价
大话西游之大圣娶亲,1995,9.2,1423512人评价
熔炉,2011,9.3,866739人评价
控方证人,1957,9.6,478334人评价
教父,1972,9.3,886063人评价
当幸福来敲门,2006,9.2,1413440人评价
触不可及,2011,9.3,997749人评价
怦然心动,2010,9.1,1697431人评价
