大白菜,蔬菜,0.4,0.6,0.5,冀,斤
娃娃菜,蔬菜,0.7,0.9,0.8,冀,斤
小白菜,蔬菜,0.8,1.2,1.0,冀,斤
圆白菜,蔬菜,0.5,0.8,0.65,冀,斤
紫甘蓝,蔬菜,1.0,1.2,1.1,冀,斤
芹菜,蔬菜,1.0,1.5,1.25,冀京,斤
西芹,蔬菜,2.0,2.2,2.1,冀,斤
菠菜,蔬菜,3.0,3.5,3.25,冀蒙,斤
莴笋,蔬菜,0.8,1.2,1.0,冀蒙,斤
团生菜,蔬菜,1.2,1.8,1.5,冀,斤
散叶生菜,蔬菜,2.0,2.5,2.25,冀,斤
罗马生菜,蔬菜,2.0,2.5,2.25,冀,斤
油菜,蔬菜,2.5,2.8,2.65,冀京,斤
香菜,蔬菜,11.0,14.0,12.5,冀,斤
茴香,蔬菜,5.0,6.0,5.5,冀,斤
韭菜,蔬菜,2.0,2.5,2.25,冀,斤
苦菊,蔬菜,2.5,4.0,3.25,冀辽,斤
油麦菜,蔬菜,4.0,4.5,4.25,冀,斤
散菜花,蔬菜,0.8,1.3,1.05,冀辽,斤
绿菜花,蔬菜,1.2,1.5,1.35,冀,斤
绿豆芽,蔬菜,0.95,1.0,0.98,,斤
黄豆芽,蔬菜,0.85,0.9,0.88,,斤
番茄,蔬菜,0.7,1.3,1.0,蒙冀鲁,斤
番茄,蔬菜,1.1,1.5,1.3,冀蒙,斤
番茄,蔬菜,1.3,1.7,1.5,蒙,斤
黄瓜,蔬菜,2.5,4.2,3.35,辽蒙,斤
黄瓜,蔬菜,3.5,5.0,4.25,冀,斤
小黄瓜,蔬菜,5.0,6.0,5.5,辽鲁,斤
茄子,蔬菜,1.0,2.0,1.5,冀豫京,斤
长茄,蔬菜,0.8,2.2,1.5,冀晋辽,斤
线茄,蔬菜,1.0,2.0,1.5,冀京,斤
广茄,蔬菜,0.5,1.2,0.85,冀京,斤
冬瓜,蔬菜,0.8,0.9,0.85,冀,斤
冬瓜,蔬菜,0.4,0.5,0.45,冀,斤
毛冬瓜,蔬菜,0.6,0.8,0.7,冀豫,斤
架豆,蔬菜,2.5,3.5,3.0,冀晋,斤
豆王,蔬菜,2.5,4.0,3.25,辽甘,斤
扁豆,蔬菜,2.5,4.0,3.25,冀晋,斤
豇豆,蔬菜,3.5,5.0,4.25,冀,斤
白不老,蔬菜,3.0,3.8,3.4,辽冀晋,斤
油豆,蔬菜,3.0,4.5,3.75,辽冀,斤
毛豆,蔬菜,2.8,4.0,3.4,川云,斤
玉米,蔬菜,1.0,1.2,1.1,冀,斤
花生,蔬菜,2.8,4.2,3.5,冀粤皖,斤
苦瓜,蔬菜,2.0,3.0,2.5,冀鲁,斤
丝瓜,蔬菜,2.5,5.0,3.75,冀鲁,斤
西葫芦,蔬菜,0.7,1.5,1.1,冀蒙晋,斤
佛手瓜,蔬菜,2.5,2.6,2.55,鲁,斤
瓠子,蔬菜,1.0,2.0,1.5,京,斤
贝贝南瓜,蔬菜,1.5,1.7,1.6,蒙,斤
金丝南瓜,蔬菜,2.8,3.2,3.0,蒙,斤
